complex_id,vina_rank,vina_total,vina_inter,vina_intra,vina_torsion,vina_intra_best,rmsd,near_native,geo_n_contacts,geo_n_contacts_per_heavy,geo_buried_fraction,geo_min_dist,geo_mean_min_dist,geo_n_close_lt_2p5,geo_centroid_offset,geo_radius_gyration,cons_n_within_2A,cons_mean_rmsd_to_others,cons_rmsd_to_top1,plf_HBDonor,plf_HBAcceptor,plf_Hydrophobic,plf_PiStacking,plf_Cationic,plf_Anionic,plf_CationPi,plf_PiCation,plf_XBDonor,plf_VdWContact,plf_total,lig_MolWt,lig_HeavyAtomCount,lig_NumHDonors,lig_NumHAcceptors,lig_NumRotatableBonds,lig_RingCount,lig_NumAromaticRings,lig_NumAliphaticRings,lig_NumSaturatedRings,lig_NumHeteroatoms,lig_FractionCSP3,lig_NHOHCount,lig_NOCount,lig_MolLogP,lig_MolMR,lig_TPSA,lig_LabuteASA,lig_NumAmideBonds,lig_NumSpiroAtoms,lig_NumBridgeheadAtoms,lig_NumAtomStereoCenters,lig_Chi0v,lig_Chi1v,lig_Chi2v,lig_Kappa1,lig_Kappa2,lig_Kappa3,lig_HallKierAlpha,lig_BalabanJ,lig_BertzCT,lig_MaxPartialCharge,lig_MinPartialCharge,lig_NumValenceElectrons,lig_NumRadicalElectrons,lig_FormalCharge,lig_NumHalogens,lig_NumSulfur,lig_NumPhosphorus,lig_fr_COO,lig_fr_NH2,vina_rank_frac,vina_delta_to_best,vina_total_per_heavy
5SAK_ZRY,1,-7.868,-8.788,-0.29,0.92,-0.29,6.9333,0,85.0,4.722222222222222,1.0,2.615766426881419,3.339671244775408,0.0,3.839305182847151,3.466516293480093,1,8.562152071585137,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,46.0,236.278,18.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,4.0,0.0,3.0,4.0,2.3888700000000007,73.00810000000003,60.27,104.86308427340096,0.0,0.0,0.0,0.0,9.643366018206592,5.685247467212544,3.983822781267108,10.528695443753053,4.331154841883468,1.840453029030777,-2.6199999999999988,1.888247206712725,616.7009350713935,0.1593483041038713,-0.322952936280907,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4371111111111111
5SAK_ZRY,2,-7.448,-8.332,-0.278,0.871,-0.29,7.7051,0,44.0,2.4444444444444446,1.0,2.871383464464474,3.5283199240676817,0.0,5.917177345201674,3.385402345838656,1,8.119140738445504,6.902056106697482,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,30.0,236.278,18.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,4.0,0.0,3.0,4.0,2.3888700000000007,73.00810000000003,60.27,104.86308427340096,0.0,0.0,0.0,0.0,9.643366018206592,5.685247467212544,3.983822781267108,10.528695443753053,4.331154841883468,1.840453029030777,-2.6199999999999988,1.888247206712725,616.7009350713935,0.1593483041038713,-0.322952936280907,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.4199999999999999,-0.4137777777777778
5SAK_ZRY,3,-7.233,-8.067,-0.302,0.846,-0.29,7.0372,0,49.0,2.7222222222222223,1.0,3.0051297808913344,3.514743882756617,0.0,5.072016632379646,3.4378624985071724,0,8.632572395307271,3.1805777427658923,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,36.0,236.278,18.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,4.0,0.0,3.0,4.0,2.3888700000000007,73.00810000000003,60.27,104.86308427340096,0.0,0.0,0.0,0.0,9.643366018206592,5.685247467212544,3.983822781267108,10.528695443753053,4.331154841883468,1.840453029030777,-2.6199999999999988,1.888247206712725,616.7009350713935,0.1593483041038713,-0.322952936280907,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1052631578947368,0.6350000000000007,-0.4018333333333333
5SAK_ZRY,4,-7.103,-8.109,-0.115,0.83,-0.29,7.8881,0,53.0,2.9444444444444446,1.0,2.809761199817521,3.5400937149391307,0.0,6.593270269424651,3.2217430304605283,0,8.497129308810962,4.782548594165621,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,29.0,236.278,18.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,4.0,0.0,3.0,4.0,2.3888700000000007,73.00810000000003,60.27,104.86308427340096,0.0,0.0,0.0,0.0,9.643366018206592,5.685247467212544,3.983822781267108,10.528695443753053,4.331154841883468,1.840453029030777,-2.6199999999999988,1.888247206712725,616.7009350713935,0.1593483041038713,-0.322952936280907,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1578947368421052,0.7650000000000006,-0.3946111111111111
5SAK_ZRY,5,-7.076,-7.883,-0.31,0.827,-0.29,7.8861,0,33.0,1.8333333333333333,0.9444444444444444,2.956330495732844,3.659691629844112,0.0,5.777459217179541,3.357149037575459,1,7.896446127983742,6.606763323376367,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,31.0,236.278,18.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,4.0,0.0,3.0,4.0,2.3888700000000007,73.00810000000003,60.27,104.86308427340096,0.0,0.0,0.0,0.0,9.643366018206592,5.685247467212544,3.983822781267108,10.528695443753053,4.331154841883468,1.840453029030777,-2.6199999999999988,1.888247206712725,616.7009350713935,0.1593483041038713,-0.322952936280907,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105263157894736,0.7920000000000007,-0.3931111111111111
5SAK_ZRY,6,-6.854,-7.736,-0.211,0.801,-0.29,8.6133,0,45.0,2.5,0.9444444444444444,2.797250256948776,3.672152454094293,0.0,6.931241900105478,3.3070797205053557,0,8.345441859408334,7.16899544721729,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,25.0,236.278,18.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,4.0,0.0,3.0,4.0,2.3888700000000007,73.00810000000003,60.27,104.86308427340096,0.0,0.0,0.0,0.0,9.643366018206592,5.685247467212544,3.983822781267108,10.528695443753053,4.331154841883468,1.840453029030777,-2.6199999999999988,1.888247206712725,616.7009350713935,0.1593483041038713,-0.322952936280907,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,1.0140000000000002,-0.3807777777777777
5SAK_ZRY,7,-6.805,-7.574,-0.316,0.796,-0.29,7.881,0,46.0,2.555555555555556,0.8888888888888888,2.7033455199067724,3.568939334175546,0.0,6.720077988827653,3.32530367730472,0,8.666230162133973,4.56101403198894,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,31.0,236.278,18.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,4.0,0.0,3.0,4.0,2.3888700000000007,73.00810000000003,60.27,104.86308427340096,0.0,0.0,0.0,0.0,9.643366018206592,5.685247467212544,3.983822781267108,10.528695443753053,4.331154841883468,1.840453029030777,-2.6199999999999988,1.888247206712725,616.7009350713935,0.1593483041038713,-0.322952936280907,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,1.0630000000000006,-0.3780555555555555
5SAK_ZRY,8,-6.752,-7.578,-0.254,0.789,-0.29,8.5493,0,42.0,2.333333333333333,0.8888888888888888,2.9509622159560074,3.725170315789185,0.0,6.632818241912484,3.5050634330569665,0,9.663712155694933,10.418057592468957,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,236.278,18.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,4.0,0.0,3.0,4.0,2.3888700000000007,73.00810000000003,60.27,104.86308427340096,0.0,0.0,0.0,0.0,9.643366018206592,5.685247467212544,3.983822781267108,10.528695443753053,4.331154841883468,1.840453029030777,-2.6199999999999988,1.888247206712725,616.7009350713935,0.1593483041038713,-0.322952936280907,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,1.1160000000000003,-0.3751111111111111
5SAK_ZRY,9,-6.693,-7.528,-0.238,0.783,-0.29,9.573,0,37.0,2.055555555555556,0.9444444444444444,2.963301537137252,3.670489835620645,0.0,7.595647199320357,3.5327988213802493,0,8.496905353790796,7.633550058786541,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,21.0,236.278,18.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,4.0,0.0,3.0,4.0,2.3888700000000007,73.00810000000003,60.27,104.86308427340096,0.0,0.0,0.0,0.0,9.643366018206592,5.685247467212544,3.983822781267108,10.528695443753053,4.331154841883468,1.840453029030777,-2.6199999999999988,1.888247206712725,616.7009350713935,0.1593483041038713,-0.322952936280907,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4210526315789473,1.1750000000000007,-0.3718333333333333
5SAK_ZRY,10,-6.439,-7.476,-0.007,0.753,-0.29,9.5074,0,37.0,2.055555555555556,0.9444444444444444,2.9622332791324824,3.697079041430552,0.0,7.868614480294873,3.237406514213439,0,8.652703804507087,7.590164106701954,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,26.0,236.278,18.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,4.0,0.0,3.0,4.0,2.3888700000000007,73.00810000000003,60.27,104.86308427340096,0.0,0.0,0.0,0.0,9.643366018206592,5.685247467212544,3.983822781267108,10.528695443753053,4.331154841883468,1.840453029030777,-2.6199999999999988,1.888247206712725,616.7009350713935,0.1593483041038713,-0.322952936280907,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4736842105263157,1.4290000000000005,-0.3577222222222222
